jjm_village_id,jjm_village,jjm_district,jjm_block,jjm_panchayat_id,jjm_panchayat,lgd_village_id,lgd_village
153385,Sanivarsanthe,Kodagu,Somvarpet,62397,Shanivarasanthe,939272,HOSAHALLI ( SHANIVARASANTHE HOBLI)
661864,SIDDALINGAPURA,Kodagu,Kushalanagar,62421,Torenur,924018,SIDDALINGAPURA
695839,SRIMANAGALA,Kodagu,Ponnampet,62461,SRIMANGALA,924065,SRIMANAGALA
589788,Bangaranatha,Kolar,Bangarapet,236411,Thoppanahalli,622635,Bangaranatha
589731,Charla Dinne,Kolar,Kolar,0,0,622078,Charaladinne
153638,Chinnakote,Kolar,Bangarapet,62474,Chinna Kota,622847,Chinnakote (OG)
153641,DEVAGANAHALLI,Kolar,Bangarapet,62474,Chinna Kota,622848,Devaganahalli (OG)
589744,Dharmakrishnepalli,Kolar,Bangarapet,0,0,622706,Dharmakrishnepalli
589732,Ganeshpur,Kolar,Kolar,62633,Thoradevandahalli,621991,Ganeshapura
153639,Kathihalli,Kolar,Bangarapet,62474,Chinna Kota,622846,Kathihalli (OG)
696315,SONNANADODDI,Kolar,Malur,62647,HASANDAHALLI,622317,SONNANADODDI
157031,Anche Doddi,Mandya,Malvalli,62876,Nagegowdanadoddi,614749,Devalinganapura
156751,Chamikoppalu,Mandya,Krishnarajpet,62807,Hariharapura,613571,CHAMIKOPPLU
156773,Ganjigerekoppalu,Mandya,Krishnarajpet,62811,Ganjigere,613673,GANJIGEREKOPPALU
157805,K.r. Sagara,Mandya,Shrirangapattana,63009,K. R. Sagara,942729,Krishnarajasagara
156711,Neethimangala,Mandya,Krishnarajpet,62804,Haralahalli,613483,NEETHIMANGALA
595383,Shettynayakana Koppalu,Mandya,Krishnarajpet,62791,Sindhagatta,613480,SHETTANAYAKANKOPPALU
158874,Anechowkuru,Mysuru,Piriyapatna,63199,Malangi,618279,Anechowkur Forest
157986,ANKUPURA,Mysuru,SARAGURU,0,0,619013,Ankupura
158799,Bettadakaval,Mysuru,Piriyapatna,63189,Bettadatunga,618170,Bettadakaval
664413,Chamundibetta,Mysuru,Mysuru,299748,Chamundibetta,618837,Chamundibetta (OG)
157985,CHIKKAKUNDURU,Mysuru,SARAGURU,63032,M.C. THALALU,619012,Chikkakundur
158757,Gobbalikaval,Mysuru,Piriyapatna,63183,Kanagalu,618091,Gobbalikaval
158061,Gundathur,Mysuru,Heggadadevankote,63039,N.Belthur,619052,Gundathur
159012,Halavara Mata,Mysuru,Tirumakudal-narsipur,63222,Kolathuru,619360,HALAVARAMATA
157942,HALEMANCHAHALLI,Mysuru,SARAGURU,63027,MANUGANAHALLI,618976,Halemanchahalli
664401,Hinkal,Mysuru,Mysuru,299749,Hinkal,618829,Hinkal (CT)
676017,HOSAMALA,Mysuru,Heggadadevankote,299730,HOSAHOLALU,939277,ANTHARASANTHE KAVAL
590015,Hundimala,Mysuru,Hunsur,63048,Uyigondanahalli,618443,Husenpuranala
158011,INURMARIGUDIJUNGLE,Mysuru,SARAGURU,63034,B. MATAKERE,619111,AINURU MARIGUDI JANGAL
158026,IYANAPURA,Mysuru,SARAGURU,63034,B. MATAKERE,619055,AYYANAPURA
158863,Kathcuvinahalli Jungle,Mysuru,Piriyapatna,63198,Panchavlli,618292,Kachuvanahalli Jungle
664404,Lingabudipalya,Mysuru,Mysuru,63118,Srirampura,618839,Lingambudi (OG)
158884,Lingapura Forest,Mysuru,Piriyapatna,63200,Muttur,618246,Lingapura Forest
158004,MALLARAJAPURA,Mysuru,SARAGURU,63033,Hegganur,619082,Mallarajapura
158635,Ramashettipura,Mysuru,Nanjangud,63153,Dasanur,619304,Ramasettipura
664411,Sathagalli,Mysuru,Mysuru,63122,Hanchya,618835,Sathagalli (OG)
158059,Sundapura,Mysuru,Heggadadevankote,63039,N.Belthur,619037,Sundapura
143262,CHITTANAHALLI,RAMANAGARA,Magadi,60006,MATHIKERE,939013,CHITTANAHALLI.
143040,CHOODAHALLI,RAMANAGARA,Kanakapura,59975,Choodahalli,626497,Choodahalli
142914,DODDAKOPPA,RAMANAGARA,Kanakapura,59949,I.GOLLAHALLI,626571,Doddakoppa
142933,IRRALAPODU,RAMANAGARA,Kanakapura,59953,Bannimukkodlu,626625,Irlapodu
142105,KUNTHURUDODDI,RAMANAGARA,Channapatna,59852,THITTAMARANAHALLY,626259,Chikka Maluru
143066,KUNURU,RAMANAGARA,Kanakapura,59978,NARAYANAPURA,626483,Kunuru
143007,MURKANI,RAMANAGARA,Kanakapura,59966,SOMEDYAPANAHALLI,626435,Murkani
589746,PAPASHASTRI PALYA,RAMANAGARA,Magadi,59990,MADABAL,626034,Papasastripalya
665293,PURADHADODDI,RAMANAGARA,Kanakapura,59977,T.HOSAHALLI,626385,PURADHA DODDI (MARALAWADI HOBLI)
607402,RANGACHARIPALYA,RAMANAGARA,Magadi,59987,HANCHIKUPPE,626033,Rangacharipalya
696053,ANBALKHED,Raichur,Devadurga,63258,RAMADURGA,600663,ANBALKHED
700916,CHAPALKI,Raichur,Devadurga,328114,JALAHALLI,600540,CHAPALKI
589906,Dibbanakedi {d),Raichur,Sindhanur,63385,Jawalgera,601156,Dibbanakhed
699917,DURG,Raichur,Devadurga,63258,RAMADURGA,600665,DURG
159193,Earalagudda,Raichur,Devadurga,63251,Nagadadinni,600721,Sutardinni
700917,HAMPERGUNDI,Raichur,Devadurga,328115,JALAHALLI,600548,HAMPERGUNDI
700919,HIREHONKUNI,Raichur,Devadurga,63271,Masarkal,600630,HIREHONKUNI
692039,HORAHATTI,Raichur,Devadurga,63265,H. Siddapur,600555,HORAHATTI
692040,JAVGUD,Raichur,Devadurga,63258,RAMADURGA,600661,JAVGUD
700923,JOGALDINNI,Raichur,MASKI,63377,BAPPUR,601107,JOGALDINNI
589904,Kanakanaikana Doddi,Raichur,Sindhanur,63385,Jawalgera,601150,Konganaikandoddi
699916,LAXMINARAYANAPURA,Raichur,Devadurga,63259,Maladakal,600669,LAXMINARAYANAPURA
589902,Lokanaikana Doddi,Raichur,Sindhanur,63385,Jawalgera,601148,Locknaikandoddi
692037,MANGI GADDE,Raichur,Raichur,63347,ATHKOOR,600755,MANGI GADDE
700924,TAMALGHAT (D),Raichur,Raichur,63350,Baidoddi,600787,TAMALGHAT (D)
700918,YERKAMANDODDI,Raichur,Devadurga,328116,JALAHALLI,600550,YERKAMANDODDI
696311,BADADHABAILU,Shivamogga,Sorab,63618,Chandragutti,607520,BADADHABAILU
161748,Devagodikoppa,Shivamogga,Sorab,63631,Ulavi,607635,Devagundikoppa
161232,Javagatte,Shivamogga,Shikarpur,63556,Belagavi,607712,JAVAGATTE
665431,Kambaduru,Shivamogga,Shikarpur,63527,Harogoppa,607839,Kambadooru
665414,Keluve,Shivamogga,Sagar,63497,Kanle,926086,KELUVE
665418,Kesarghatta(be),Shivamogga,Shikarpur,63527,Harogoppa,607845,Kesaraghatta
161500,Oddigere,Shivamogga,Sorab,63608,Tatturu,925233,THATHURU VADDIGERE
665389,Suranagadde,Shivamogga,Sagar,63492,Bhimaneri,925015,SURANAGADDE
665402,Tattegundi,Shivamogga,Sagar,63503,Herenelluru,925026,TATTEGUNDI
665393,TORAVAGADU,Shivamogga,Sagar,63492,Bhimaneri,607138,Talakalale
161401,Totadakere,Shivamogga,Shivamogga,63592,Umblebilu,925200,TOTADAKERE
702936,YADAGOPPA,Shivamogga,Sorab,63595,Jade,607399,YADAGOPPA
665395,YALAKUNDLI,Shivamogga,Sagar,63503,Herenelluru,925027,YALAKUNDLI
163608,HALKURU KAVAL,TUMAKURU,Sira,0,0,610387,Halkur Kaval
163574,KALLUKOTE,TUMAKURU,Sira,63878,Bhuvanahalli,610366,Kallukote
162844,KITHNAMANGALA AMANIKERE,TUMAKURU,Kunigal,63767,Kithanamangala,612611,Kithanamangala Amanikere
588538,KUSUKUNTE KAVAL,TUMAKURU,Sira,63883,HONNAGONDANAHALLI,610368,Kusukunte Kaval
588561,MADHAVARAYANAPALYA,TUMAKURU,Koratagere,0,0,611226,Madhavarayanapalya
588642,MALLASANDRA KATTE,TUMAKURU,Gubbi,0,0,611647,Mallasandra Katte
164019,MALLASANDRA VOLAGERE KAVAL,TUMAKURU,Tumakuru,63932,Malasandra,611447,Mallasandra PALYA
665779,TAREMARADAPALYA,TUMAKURU,Kunigal,63772,HUTHRIDURGA,612558,Taremaradapalya
163463,VADANAKALLU,TUMAKURU,Pavagada,63855,VADANAKALLU,610544,Vadanakal
168572,Ambalapadi,Udupi,Udupi,65033,Ambalapadi,608861,Ambalpady (OG)
168575,Kadekar,Udupi,Udupi,65034,Kadekaru,608863,Kadekar (OG)
168570,Kelarkalabettu,Udupi,Udupi,65031,Thenkanidiyur,608859,Kelarkalabettu (OG)
168574,Kidiyoor,Udupi,Udupi,65033,Ambalapadi,608862,Kidiyoor (OG)
168576,Kuthpadi,Udupi,Udupi,65034,Kadekaru,608864,Kuthpady (OG)
164733,AMGA *,Uttara Kannada,DANDELI,64030,AMBIKANAGAR,602789,Amga
164600,Bobruwada,Uttara Kannada,Ankola,63998,Bobruwada,603405,Bobruwada (CT)
164724,CHINAGINKOP,Uttara Kannada,Haliyal,64028,JANAGA,602873,CHINAGINKOP
164992,Chitakula,Uttara Kannada,Karwar,64087,Chittakula,602629,Chitakula (OG)
165061,Hegde,Uttara Kannada,Kumta,64099,Hegde,603452,Hegde(Part)
165139,Ingalki,Uttara Kannada,Mundgod,64114,Pala,603068,Ingalki
164728,JAMAGA *,Uttara Kannada,DANDELI,64030,AMBIKANAGAR,602788,Jamaga
164859,Kakurve,Uttara Kannada,Honavar,64051,Navilgone,603732,Kakurve
165113,Kalbhag *,Uttara Kannada,Kumta,64109,Kalbhag,603528,Kalbagh (OG)
697070,KANCHINMALE,Uttara Kannada,Ankola,63996,AGSUR,603344,KANCHINMALE
164658,Lakkeguli,Uttara Kannada,Ankola,64011,HATTIKERI,603337,Lakkeguli
164580,Laxmeshwar,Uttara Kannada,Ankola,63994,Vandige,603408,Laxmeshwar (OG)
165244,Malubalgar,Uttara Kannada,Siddapur,64127,Hasaragod,603581,Malubalgar
