state,jjm_district,jjm_block,jjm_panchayat_id,jjm_panchayat,jjm_village_id,jjm_village,lgd_village_id,lgd_village,district_from_header,source_file,serial_no,shrug_village_id,shrug_shrid2,shrug_village_name,shrug_district,shrug_subdistrict,shrug_lgd_gp_code,shrug_gp_name,name_match_shrug_id,name_match_shrug_name,name_match_type,name_match_score,final_shrug_id,final_shrug_name,match_method
Karnataka,Chitradurga,Holalkere,236415,Adanur,663510,Kambadevarahatta,927631,KAMBADEVARAHATTA,Chitradurga,Chitradurga.xls,475,,,,,,,,,,,,,,unmatched
Karnataka,Chitradurga,Hosdurga,65303,Chikkabyladakere,663791,Katihatti,927469,KATIHATTI,Chitradurga,Chitradurga.xls,511,,,,,,,,,,,,,,unmatched
Karnataka,Chitradurga,Molakalmuru,65357,Hangal,664077,Kelagalahatti,927422,KELAGALAHATTI,Chitradurga,Chitradurga.xls,516,,,,,,,,,,,,,,unmatched
Karnataka,Chitradurga,Chitradurga,65248,Lakshmisagara,169456,Kitttadahatti,927381,KITTADAHATTI,Chitradurga,Chitradurga.xls,532,,,,,,,,,,,,,,unmatched
Karnataka,Chitradurga,Hosdurga,65324,Bokikere,663776,M G Dibba,927464,M.G.DIBBA,Chitradurga,Chitradurga.xls,592,,,,,,,,,,,,,,unmatched
Karnataka,Chitradurga,Chitradurga,65230,Muddapura,663965,MUDDAPURA MYASARAHATTY,927416,MYASARAHATTY,Chitradurga,Chitradurga.xls,668,,,,,,,,,,,,,,unmatched
Karnataka,Chitradurga,Hosdurga,65319,Mallappanahalli,663923,Rangyanauru,927532,RANGYANAURU,Chitradurga,Chitradurga.xls,779,,,,,,,,,,,,,,unmatched
Karnataka,Chitradurga,Molakalmuru,65360,Ashoka Siddapura,664064,Roppa,927442,ROPPA,Chitradurga,Chitradurga.xls,786,,,,,,,,,,,,,,unmatched
Karnataka,Chitradurga,Holalkere,65333,Gungiganur,663690,S H Halli Gollarhatti,927663,S.H.HALLI GOLLARHATTI,Chitradurga,Chitradurga.xls,788,,,,,,,,,,,,,,unmatched
Karnataka,Chitradurga,Chitradurga,65227,Turuvanur,663991,T.Upparatti,605502,Upparatti,Chitradurga,Chitradurga.xls,859,,,,,,,,,,,,,,unmatched
Karnataka,Chitradurga,Challakere,65185,Doddaullarthi,169099,ULLAVARTHI KAVAL,605307,ULLAVARTHI KAVAL,Chitradurga,Chitradurga.xls,906,,,,,,,,,,,,,,unmatched
Karnataka,Dakshina Kannada,Mangaluru,61571,CHELAIRU,148758,Chelairu,617521,Chelliru (OG),Dakshina Kannada,Dakshina Kannada.xls,75,,,,,,,,,,,,,,unmatched
Karnataka,Dakshina Kannada,Puttur,61602,Munduru,148816,Kemminje,617734,Kemminje (Rural),Dakshina Kannada,Dakshina Kannada.xls,150,,,,,,,,,,,,,,unmatched
Karnataka,Dakshina Kannada,Mangaluru,61560,Permude,148738,Kuttethuru,617522,Kuthethur (OG),Dakshina Kannada,Dakshina Kannada.xls,198,,,,,,,,,,,,,,unmatched
Karnataka,Dakshina Kannada,Mangaluru,236264,Gurupura,674434,MOOLUR,617507,Mulur (CT),Dakshina Kannada,Dakshina Kannada.xls,226,,,,,,,,,,,,,,unmatched
Karnataka,Dakshina Kannada,Mangaluru,236263,Neermarga,587769,Neerumarga,617510,Neermarga (CT),Dakshina Kannada,Dakshina Kannada.xls,252,,,,,,,,,,,,,,unmatched
Karnataka,Dakshina Kannada,Mangaluru,61550,Moodushedde,674495,PADUSHEDDE,617524,Padushedde (OG),Dakshina Kannada,Dakshina Kannada.xls,273,,,,,,,,,,,,,,unmatched
Karnataka,Davangere,Honnali,64823,Haralahalli,168015,Didagur,606827,Didagur,Davangere,Davangere.xls,145,,,,,,,,,,,,,,unmatched
Karnataka,Davangere,Channagiri,64698,Guddada Kumaranahalli,167488,Guddada Kumaranaha Halli,607066,Komaranahalli,Davangere,Davangere.xls,205,,,,,,,,,,,,,,unmatched
Karnataka,Davangere,Nyamathi,64814,GUDDEHALLI,167981,NARAGINAKERE,606708,Naraginakere,Davangere,Davangere.xls,527,,,,,,,,,,,,,,unmatched
Karnataka,Davangere,Channagiri,64733,Garaga,167604,Rangapura Thanda,607112,Rangapura,Davangere,Davangere.xls,571,,,,,,,,,,,,,,unmatched
Karnataka,Davangere,Davanagere,64655,Belavanuru,664230,Taralabalunagara,924654,TARALABALUNAGAR,Davangere,Davangere.xls,635,,,,,,,,,,,,,,unmatched
Karnataka,Davangere,Channagiri,64696,Tyavanagi,595950,Tyavanige Thanda,606925,Thyavanige Thanda,Davangere,Davangere.xls,660,,,,,,,,,,,,,,unmatched
Karnataka,Gadag,Shirahatti,64403,Magadi,662140,Channapattana,602095,Shirahatti (Rural),Gadag,Gadag.xls,59,,,,,,,,,,,,,,unmatched
