state,jjm_district,jjm_block,jjm_panchayat_id,jjm_panchayat,jjm_village_id,jjm_village,lgd_village_id,lgd_village,district_from_header,source_file,serial_no,lgd_village_code,lgd_gp_code,gp_name,district_name,subdistrict_name
Karnataka,Bengaluru Urban,Anekal,61335,Suragajakkanahalli,147857,Surgajakanahalli,613255,Veerasandra,Bengaluru Urban,Bengaluru Urban.xls,533,613255.0,,,Bengaluru Urban,Anekal
Karnataka,Bengaluru Urban,Anekal,61343,Kallubalu,147898,Vaderamanchenahalli,613166,Kyalasanahalli,Bengaluru Urban,Bengaluru Urban.xls,571,613166.0,,,Bengaluru Urban,Anekal
Karnataka,Bengaluru Urban,Anekal,61337,Vanakanahalli,147864,Vannakanahalli,613167,Bande Nalla Sandra,Bengaluru Urban,Bengaluru Urban.xls,574,613167.0,,,Bengaluru Urban,Anekal
Karnataka,Bengaluru Urban,Bengaluru South,299654,Nelaguli,665285,Veerasandra,938478,CHANNASANDRA,Bengaluru Urban,Bengaluru Urban.xls,578,938478.0,,,Bengaluru Urban,Bengaluru South
Karnataka,Bidar,Bidar,60862,Aliabad (j),693388,ALIABAD (J),600256,ALIABAD (J),Bidar,Bidar.xls,5,600256.0,,,Bidar,Bidar
Karnataka,Bidar,Bidar,60844,Amalapur,145688,Amlapur,600186,Amlapur,Bidar,Bidar.xls,19,600186.0,,,Bidar,Bidar
Karnataka,Bidar,Aurad,60738,CHINTAKI,692352,ASHOKNAGAR,600082,ASHOKNAGAR,Bidar,Bidar.xls,22,600082.0,,,Bidar,Aurad
Karnataka,Bidar,Bidar,60867,Markal,145771,Chikpet,600155,Chikpet,Bidar,Bidar.xls,107,600155.0,,,Bidar,Bidar
Karnataka,Bidar,Bidar,60862,Aliabad (j),145746,Chondi,600192,Chondi,Bidar,Bidar.xls,120,600192.0,,,Bidar,Bidar
Karnataka,Bidar,Bidar,60862,Aliabad (j),145747,Chowli,600193,Chouli,Bidar,Bidar.xls,122,600193.0,,,Bidar,Bidar
Karnataka,Bidar,Aurad,299936,Gudapalli,664579,Gandhinagar,600091,Gandhinagar,Bidar,Bidar.xls,159,600091.0,,,Bidar,Aurad
Karnataka,Bidar,Bidar,60844,Amalapur,145689,Gornalli (b),600189,Gornalli(B),Bidar,Bidar.xls,174,600189.0,,,Bidar,Bidar
Karnataka,Bidar,Bidar,60861,Kolar (k),588457,Hajjargi,923711,HAJJARAGI,Bidar,Bidar.xls,187,923711.0,,,Bidar,Bidar
Karnataka,Bidar,Bidar,60839,Gadgi,145670,Kabirwada,600170,Kabirwada,Bidar,Bidar.xls,265,600170.0,,,Bidar,Bidar
Karnataka,Bidar,Bidar,60861,Kolar (k),145743,Kolar (k),600194,Kolhar (K),Bidar,Bidar.xls,327,600194.0,,,Bidar,Bidar
Karnataka,Bidar,Bidar,60839,Gadgi,145663,Mamankeri,600157,Mamankeri,Bidar,Bidar.xls,376,600157.0,,,Bidar,Bidar
Karnataka,Bidar,Bidar,60861,Kolar (k),145745,Nizampur,600199,Nizampur,Bidar,Bidar.xls,462,600199.0,,,Bidar,Bidar
Karnataka,Bidar,Bidar,60841,Austoor,145679,Odwada,600171,Odwada,Bidar,Bidar.xls,463,600171.0,,,Bidar,Bidar
Karnataka,Bidar,Bidar,60839,Gadgi,145662,Shamrajpur,600169,Shamrajapur,Bidar,Bidar.xls,508,600169.0,,,Bidar,Bidar
Karnataka,Bidar,Bidar,60839,Gadgi,145661,Sippalgera,600159,Sippalgeri,Bidar,Bidar.xls,523,600159.0,,,Bidar,Bidar
Karnataka,Bidar,Bidar,60841,Austoor,145677,Tajlapur,600172,Tajlapur,Bidar,Bidar.xls,545,600172.0,,,Bidar,Bidar
Karnataka,Bidar,Aurad,60736,Jambgi,697487,VIJAYNAGAR,600118,VIJAYNAGAR,Bidar,Bidar.xls,569,600118.0,,,Bidar,Aurad
Karnataka,Chikkaballapura,Gauribidanur,62588,BYCHAPURA,154635,BADIMARALUR,623244,Badimaralur,Chikkaballapura,Chikkaballapura.xls,78,623244.0,,,Chikkaballapura,Gauribidanur
Karnataka,Chikkaballapura,Gauribidanur,62583,PURA,699972,BAYAMAKALAHALLY,623389,BAYAMAKALAHALLY,Chikkaballapura,Chikkaballapura.xls,117,623389.0,,,Chikkaballapura,Manchenahalli
Karnataka,Chikkaballapura,Chikballapur,62524,Thippanahalli,699543,BODHAGANAHALLI,623564,BODHAGANAHALLI,Chikkaballapura,Chikkaballapura.xls,153,623564.0,,,Chikkaballapura,Chikkaballapura
