jjm_village_id,jjm_village,jjm_district,lgd_village_id,matched_shrug_id,matched_shrug_name,matched_shrug_district,match_type,match_score
665880,Hole Koppa,Shivamogga,607398,607636,holekoppa,shimoga,fuzzy_name,94.73684210526316
665431,Kambaduru,Shivamogga,607839,607374,kamaruru,shimoga,fuzzy_name,82.35294117647058
665411,Mandagalale,Shivamogga,926087,608014,manjagalale,shimoga,fuzzy_name,90.9090909090909
161420,Varadikoppa,Shivamogga,607401,607330,aralikoppa,shimoga,fuzzy_name,85.71428571428572
588550,BANTARAHALLI,TUMAKURU,612308,610100,bhattarahalli,tumkur,fuzzy_name,88.0
163221,BRAMHASAMUDRA,TUMAKURU,610891,610585,balasamudra,tumkur,fuzzy_name,83.33333333333334
588560,CHIGARANAHALLI,TUMAKURU,611091,610246,thigalanahalli,tumkur,fuzzy_name,85.71428571428572
163397,CHIKKAHALLY,TUMAKURU,610522,611400,chikkahalli,tumkur,fuzzy_name,90.9090909090909
162108,HARAGONDAHAHALLI,TUMAKURU,610173,611116,harapagondanahalli,tumkur,fuzzy_name,88.23529411764706
586141,K.G.THIPPAPURA,TUMAKURU,610815,610881,thippapura,tumkur,fuzzy_name,90.9090909090909
