jjm_village_id,jjm_village,jjm_district,jjm_block,jjm_panchayat_id,jjm_panchayat,lgd_village_id,lgd_village,shrid2,shrug_district,shrug_subdistrict,shrug_village,shrug_place,match_score,match_method
148280,Govindashettipalya,Bengaluru Urban,Bengaluru South,61403,Konappana Agrahara,938477,AVALAHALLI,11-29-572-05542-612939,bangalore,bangalore north,avalahalli,avalahalli,100.0,fuzzy
148483,Gururayanapura,Bengaluru Urban,Bengaluru South,61441,Chunchanakuppe,939493,SONNENAHALLI (KOTLU K.G),11-29-572-05542-612826,bangalore,bangalore north,sonnenahalli,sonnenahalli,100.0,fuzzy
148320,H. Gollahalli,Bengaluru Urban,Bengaluru South,259828,H. Gollahalli,938480,HOSAKEREHALLI,11-29-572-05542-612923,bangalore,bangalore north,gollahalli,gollahalli,100.0,fuzzy
147915,Hennagara Amanikere,Bengaluru Urban,Anekal,61345,Hennagara,613179,Hennagara Amanikere,11-29-572-05543-613039,bangalore,bangalore south,agara,agara,100.0,fuzzy
700197,HOSAHALLI,Bengaluru Urban,YELAHANKA,299660,Sathanooru,612909,HOSAHALLI,11-29-572-05542-612759,bangalore,bangalore north,hosahalli palya,hosahalli palya,100.0,fuzzy
665269,Hosapalya,Bengaluru Urban,Bengaluru South,61418,Kumbalagodu,938458,CHUNCHAGHATTA,11-29-572-05543-613019,bangalore,bangalore south,chalaghatta,chalaghatta,90.0,fuzzy
665254,KADAYARAPPANAHALLI,Bengaluru Urban,YELAHANKA,61391,Bandikodagehalli,612918,Bandikodegehalli Amanikere,11-29-572-05542-612892,bangalore,bangalore north,papanahalli,papanahalli,95.23809523809524,fuzzy
665471,Kannahalli Hosahalli,Bengaluru Urban,Bengaluru North,61368,Kodigehalli,939475,ULLALU K.G,11-29-572-05542-612824,bangalore,bangalore north,kannahalli,kannahalli,100.0,fuzzy
148442,Kannur,Bengaluru Urban,Bengaluru East,61437,Kannuru,613124,Kannur (OG),11-29-572-05542-612824,bangalore,bangalore north,kannahalli,kannahalli,80.0,fuzzy
665567,Karekalpalya,Bengaluru Urban,Bengaluru South,61441,Chunchanakuppe,938424,NAGANATHAPURA,11-29-572-05542-612834,bangalore,bangalore north,adde vishwanathapura,adde vishwanathapura,86.95652173913044,fuzzy
697341,KODIGEHALLI,Bengaluru Urban,Bengaluru North,61368,Kodigehalli,612822,KODIGEHALLI,11-29-572-05542-612919,bangalore,bangalore north,bandi kodigehalli palya,bandi kodigehalli palya,100.0,fuzzy
148062,Kodigehalli,Bengaluru Urban,Bengaluru North,61368,Kodigehalli,612822,KODIGEHALLI,11-29-572-05542-612919,bangalore,bangalore north,bandi kodigehalli palya,bandi kodigehalli palya,100.0,fuzzy
