villageid,villagename,districtid
663732,Doddignahal Hosahatti,213
663965,MUDDAPURA MYASARAHATTY,213
663751,,213
663766,,213
663936,H S PALYA,213
663972,Hidayathpura,213
664029,Hanumapura S,213
664129,,213
663797,Akkithimmayanahatti,213
663510,Kambadevarahatta,213
663742,,213
663810,Galirangyanahatti,213
164577,Shirkuli,206
663991,T.Upparatti,213
164602,Tenkankeri,206
664027,,213
664077,Kelagalahatti,213
